,movie_id,title,genres,Action,Adventure,Animation,Children's,Comedy,Crime,Documentary,Drama,Fantasy,Film-Noir,Horror,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western
0,movie_1,Toy Story (1995),Animation|Children's|Comedy,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,movie_2,Jumanji (1995),Adventure|Children's|Fantasy,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,movie_3,Grumpier Old Men (1995),Comedy|Romance,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
3,movie_4,Waiting to Exhale (1995),Comedy|Drama,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
4,movie_5,Father of the Bride Part II (1995),Comedy,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5,movie_6,Heat (1995),Action|Crime|Thriller,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
6,movie_7,Sabrina (1995),Comedy|Romance,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
7,movie_8,Tom and Huck (1995),Adventure|Children's,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,movie_9,Sudden Death (1995),Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,movie_10,GoldenEye (1995),Action|Adventure|Thriller,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
10,movie_11,"American President, The (1995)",Comedy|Drama|Romance,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
11,movie_12,Dracula: Dead and Loving It (1995),Comedy|Horror,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
12,movie_13,Balto (1995),Animation|Children's,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,movie_14,Nixon (1995),Drama,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
14,movie_15,Cutthroat Island (1995),Action|Adventure|Romance,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
15,movie_16,Casino (1995),Drama|Thriller,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
16,movie_17,Sense and Sensibility (1995),Drama|Romance,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
17,movie_18,Four Rooms (1995),Thriller,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
18,movie_19,Ace Ventura: When Nature Calls (1995),Comedy,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
19,movie_20,Money Train (1995),Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,movie_21,Get Shorty (1995),Action|Comedy|Drama,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
21,movie_22,Copycat (1995),Crime|Drama|Thriller,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
22,movie_23,Assassins (1995),Thriller,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
23,movie_24,Powder (1995),Drama|Sci-Fi,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
24,movie_25,Leaving Las Vegas (1995),Drama|Romance,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
25,movie_26,Othello (1995),Drama,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
26,movie_27,Now and Then (1995),Drama,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
27,movie_28,Persuasion (1995),Romance,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
28,movie_29,"City of Lost Children, The (1995)",Adventure|Sci-Fi,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
29,movie_30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Drama,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
30,movie_31,Dangerous Minds (1995),Drama,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
31,movie_32,Twelve Monkeys (1995),Drama|Sci-Fi,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
32,movie_33,Wings of Courage (1995),Adventure|Romance,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
33,movie_34,Babe (1995),Children's|Comedy|Drama,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
34,movie_35,Carrington (1995),Drama|Romance,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
35,movie_36,Dead Man Walking (1995),Drama,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
36,movie_37,Across the Sea of Time (1995),Documentary,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
37,movie_38,It Takes Two (1995),Comedy,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
38,movie_39,Clueless (1995),Comedy|Romance,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
39,movie_40,"Cry, the Beloved Country (1995)",Drama,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
40,movie_41,Richard III (1995),Drama|War,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
41,movie_42,Dead Presidents (1995),Action|Crime|Drama,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
42,movie_43,Restoration (1995),Drama,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
43,movie_44,Mortal Kombat (1995),Action|Adventure,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,movie_45,To Die For (1995),Comedy|Drama,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
45,movie_46,How to Make an American Quilt (1995),Drama|Romance,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
46,movie_47,Seven (Se7en) (1995),Crime|Thriller,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
47,movie_48,Pocahontas (1995),Animation|Children's|Musical|Romance,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
48,movie_49,When Night Is Falling (1995),Drama|Romance,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
49,movie_50,"Usual Suspects, The (1995)",Crime|Thriller,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
50,movie_51,Guardian Angel (1994),Action|Drama|Thriller,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
51,movie_52,Mighty Aphrodite (1995),Comedy,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
52,movie_53,Lamerica (1994),Drama,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
53,movie_54,"Big Green, The (1995)",Children's|Comedy,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
54,movie_55,Georgia (1995),Drama,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
55,movie_56,Kids of the Round Table (1995),Adventure|Children's|Fantasy,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
56,movie_57,Home for the Holidays (1995),Drama,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
57,movie_58,"Postino, Il (The Postman) (1994)",Drama|Romance,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
58,movie_59,"Confessional, The (Le Confessionnal) (1995)",Drama|Mystery,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
59,movie_60,"Indian in the Cupboard, The (1995)",Adventure|Children's|Fantasy,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
60,movie_61,Eye for an Eye (1996),Drama|Thriller,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
61,movie_62,Mr. Holland's Opus (1995),Drama,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
62,movie_63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
63,movie_64,Two if by Sea (1996),Comedy|Romance,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
64,movie_65,Bio-Dome (1996),Comedy,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
65,movie_66,Lawnmower Man 2: Beyond Cyberspace (1996),Sci-Fi|Thriller,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
66,movie_67,Two Bits (1995),Drama,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
67,movie_68,French Twist (Gazon maudit) (1995),Comedy|Romance,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
68,movie_69,Friday (1995),Comedy,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
69,movie_70,From Dusk Till Dawn (1996),Action|Comedy|Crime|Horror|Thriller,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0
70,movie_71,Fair Game (1995),Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,movie_72,Kicking and Screaming (1995),Comedy|Drama,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
72,movie_73,"Mis�rables, Les (1995)",Drama|Musical,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
73,movie_74,Bed of Roses (1996),Drama|Romance,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
74,movie_75,Big Bully (1996),Comedy|Drama,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
75,movie_76,Screamers (1995),Sci-Fi|Thriller,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
76,movie_77,Nico Icon (1995),Documentary,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
77,movie_78,"Crossing Guard, The (1995)",Drama,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
78,movie_79,"Juror, The (1996)",Drama|Thriller,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
79,movie_80,"White Balloon, The (Badkonake Sefid ) (1995)",Drama,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
80,movie_81,Things to Do in Denver when You're Dead (1995),Crime|Drama|Romance,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
81,movie_82,Antonia's Line (Antonia) (1995),Drama,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
82,movie_83,Once Upon a Time... When We Were Colored (1995),Drama,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
83,movie_84,Last Summer in the Hamptons (1995),Comedy|Drama,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
84,movie_85,Angels and Insects (1995),Drama|Romance,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
85,movie_86,White Squall (1996),Adventure|Drama,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
86,movie_87,Dunston Checks In (1996),Children's|Comedy,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
87,movie_88,Black Sheep (1996),Comedy,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
88,movie_89,Nick of Time (1995),Action|Thriller,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
89,movie_90,"Journey of August King, The (1995)",Drama,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
90,movie_92,Mary Reilly (1996),Drama|Thriller,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
91,movie_93,Vampire in Brooklyn (1995),Comedy|Romance,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
92,movie_94,Beautiful Girls (1996),Drama,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
93,movie_95,Broken Arrow (1996),Action|Thriller,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
94,movie_96,In the Bleak Midwinter (1995),Comedy,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
95,movie_97,"Hate (Haine, La) (1995)",Drama,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
